ItemName_TH= {
    ItemName_Base.223Box = "กระสุนปืน .223 (บรรจุกล่อง)",
    ItemName_Base.223Bullets = "กระสุนปืน .223",
    ItemName_Base.223BulletsMold = "แม่พิมพ์กระสุนปืน .223",
    ItemName_Base.223Clip = "แมกกาซีนปืน MSR700",
    ItemName_Base.308Box = "กระสุนปืน .308 (บรรจุกล่อง)",
    ItemName_Base.308Bullets = "กระสุนปืน .308",
    ItemName_Base.308BulletsMold = "แม่พิมพ์กระสุนปืน .308",
    ItemName_Base.308Clip = "แมกกาซีนปืน MSR788",
    ItemName_Base.44Clip = "แมกกาซีนปืน D-E",
    ItemName_Base.45Clip = "แมกกาซีนปืน M1911",
    ItemName_Base.556Box = "กระสุนปืน 5.56 มม. (บรรจุกล่อง)",
    ItemName_Base.556Bullets = "กระสุนปืน 5.56 มม.",
    ItemName_Base.556Clip = "แมกกาซีนปืน M16 มม.",
    ItemName_Base.9mmBulletsMold = "แม่พิมพ์กระสุนปืน 9 มม.",
    ItemName_Base.9mmClip = "แมกกาซีนปืน M9",
    ItemName_Base.Acorn = "ลูกโอ๊ก",
    ItemName_Base.Aerosolbomb = "ระเบิดกระป๋อง",
    ItemName_Base.AerosolbombRemote = "ระเบิดกระป๋อง (ควบคุมด้วยรีโมต)",
    ItemName_Base.AerosolbombSensorV1 = "ระเบิดกระป๋อง (เซ็นเซอร์)",
    ItemName_Base.AerosolbombSensorV2 = "ระเบิดกระป๋อง (เซ็นเซอร์)",
    ItemName_Base.AerosolbombSensorV3 = "ระเบิดกระป๋อง (เซ็นเซอร์)",
    ItemName_Base.AerosolbombTriggered = "ระเบิดกระป๋อง (ตั้งเวลา)",
    ItemName_Base.AlarmClock = "นาฬิกาปลุก",
    ItemName_Base.AlarmClock2 = "นาฬิกาปลุก",
    ItemName_Base.AlcoholBandage = "ผ้าพันแผลฆ่าเชื้อ",
    ItemName_Base.AlcoholRippedSheets = "เศษผ้าฆ่าเชื้อ",
    ItemName_Base.AlcoholWipes = "แอลกอฮอล์แผ่น",
    ItemName_Base.AlcoholedCottonBalls = "สำลีก้อนแช่แอลกอฮอล์",
    ItemName_Base.Allsorts = "ลูกอมชะเอมเทศ",
    ItemName_Base.Aluminum = "อะลูมิเนียม",
    ItemName_Base.AmericanLadyCaterpillar = "หนอนผีเสื้อ",
    ItemName_Base.AmmoStrap_Bullets = "สายคล้องกระสุน",
    ItemName_Base.AmmoStrap_Shells = "สายคาดกระสุน",
    ItemName_Base.AmmoStraps = "สายสะพายกระสุน",
